path,provenance,source_modified_at_sydney,package_modified_at_sydney,snapshot_at_sydney,size_bytes,sha256
handoff/sound_design_rationale_revision_20260923.md,Mac source snapshot,2026-09-24T03:23:36+10:00,2026-09-24T03:23:36+10:00,2026-09-25T19:44:20+10:00,9384,565c59dab0f8b309fa54006196e14cd7c970fad6634ab3ceddca4420530ba288
handoff/trial_design_methods_tram_comments_20260923.md,Mac source snapshot,2026-09-23T14:35:05+10:00,2026-09-23T14:35:05+10:00,2026-09-25T19:44:20+10:00,3945,43f8b92a060081487ffe3fcc67b659c234b6bb78153c5a55d316d94e7ecd4366
handoff/turn_cue_file_inventory_and_editing_20260925.md,Mac source snapshot,2026-09-25T00:48:34+10:00,2026-09-25T00:48:34+10:00,2026-09-25T19:44:20+10:00,8049,5c4ae719d83556bad447853f60c987e64729d0c5a8ab355b7f043ad0fb3f8821
handoff/turn_cue_quest3_continuous_audio_handoff_20260924.md,Mac source snapshot,2026-09-24T22:13:34+10:00,2026-09-24T22:13:34+10:00,2026-09-25T19:44:20+10:00,6536,135f47edca82931a993d54bb477931830036f8941b8fae4bb90a1d3b2650ee91
handoff/unity_software_delivery_20260924.md,Mac source snapshot,2026-09-24T11:43:59+10:00,2026-09-24T11:43:59+10:00,2026-09-25T19:44:20+10:00,8617,985e12e7078d3dc46b5231dfd1b3975c0e48f3047840d31adb4acac649639984
handoff/unity_tutorial_motion_and_sound_candidates_20260923.md,Mac source snapshot,2026-09-24T01:32:05+10:00,2026-09-24T01:32:05+10:00,2026-09-25T19:44:20+10:00,10300,ad98b90dd923be38abba35a39cb16ab1a1d536703abd084bd9d3dccc03c50e94
handoff/urban_route_ui_motion_and_data_20260921.md,Mac source snapshot,2026-09-21T03:06:44+10:00,2026-09-21T03:06:44+10:00,2026-09-25T19:44:20+10:00,7870,b6fef757f73ce808c972c0502bf9ee70ee2a308255a033addbaf8c62a3f7d8ce
handoff/visible_data_folder_20260921.md,Mac source snapshot,2026-09-21T17:58:04+10:00,2026-09-21T17:58:04+10:00,2026-09-25T19:44:20+10:00,2802,a7e6411f0a6e059d7ac4ec6603dbfeb1b002571a1a3b6c8e513c3329a72d8f37
handoff/windows_unity_quest3_migration_20260924.md,Mac source snapshot,2026-09-24T23:35:02+10:00,2026-09-24T23:35:02+10:00,2026-09-25T19:44:20+10:00,5769,9e01ed8668b5c2bbfc3c16ea9ac0ce996d74636d471dca8e5c9a536af0b72385
handoff/windows_unity_quest3_migration_20260925.md,Mac source snapshot,2026-09-25T00:27:23+10:00,2026-09-25T00:27:23+10:00,2026-09-25T19:44:20+10:00,2583,fae2478647f9d530dbdf364ba5bcd9ccb267b371346e736d3f333d9e3282631c
